#z(>0.01) 	 mB 	 errmB 
0.01016 	 13.5264 	 0.3475 
0.01017 	 13.6652 	 0.364224 
0.01017 	 13.7144 	 0.34081 
0.01026 	 14.0848 	 0.305101 
0.01026 	 13.9723 	 0.297865 
0.01028 	 14.0258 	 0.246478 
0.01042 	 13.8706 	 0.316076 
0.01044 	 13.8339 	 0.342855 
0.01061 	 14.1276 	 0.307827 
0.01061 	 14.0401 	 0.273239 
0.01073 	 13.8551 	 0.363667 
0.01079 	 13.8153 	 0.322889 
0.01079 	 13.9279 	 0.377003 
0.01096 	 14.3179 	 0.313698 
0.01114 	 14.4807 	 0.341421 
0.01114 	 14.3839 	 0.293983 
0.01122 	 14.5817 	 0.352878 
0.01122 	 14.1806 	 0.282135 
0.01122 	 14.2417 	 0.32405 
0.01155 	 14.3303 	 0.27987 
0.01195 	 14.2444 	 0.30029 
0.01213 	 14.6253 	 0.345327 
0.0122 	 14.4493 	 0.265296 
0.01233 	 14.4873 	 0.252697 
0.01246 	 14.5756 	 0.263736 
0.01258 	 14.455 	 0.239241 
0.01258 	 14.4716 	 0.248635 
0.01259 	 14.3344 	 0.258654 
0.01259 	 14.2648 	 0.264818 
0.01279 	 14.4962 	 0.415783 
0.01283 	 14.3835 	 0.286107 
0.01283 	 14.2498 	 0.330021 
0.01303 	 14.4825 	 0.238258 
0.01303 	 14.5077 	 0.285948 
0.01304 	 14.3222 	 0.291315 
0.01304 	 14.3143 	 0.283503 
0.01312 	 14.267 	 0.2722 
0.01312 	 14.2187 	 0.260204 
0.01325 	 14.7152 	 0.302491 
0.01325 	 14.7316 	 0.298179 
0.01325 	 14.6717 	 0.303407 
0.01375 	 14.544 	 0.27654 
0.01375 	 14.5153 	 0.231206 
0.01375 	 14.519 	 0.234204 
0.01376 	 14.5119 	 0.287526 
0.01386 	 14.4211 	 0.34431 
0.01388 	 14.4438 	 0.231964 
0.01389 	 14.5523 	 0.287538 
0.01389 	 14.4121 	 0.294973 
0.01411 	 14.5676 	 0.249416 
0.01424 	 14.5914 	 0.264112 
0.01442 	 14.7657 	 0.306005 
0.01442 	 14.7719 	 0.351302 
0.01442 	 15.0836 	 0.369731 
0.01442 	 14.9251 	 0.395988 
0.01442 	 14.999 	 0.396317 
0.01446 	 14.6548 	 0.238994 
0.0145 	 14.9197 	 0.364029 
0.01453 	 14.4996 	 0.214608 
0.0146 	 14.6296 	 0.24785 
0.01462 	 14.6723 	 0.242429 
0.01463 	 14.5023 	 0.389571 
0.01463 	 14.4659 	 0.391891 
0.01467 	 14.6386 	 0.239175 
0.01472 	 14.5364 	 0.396434 
0.01484 	 14.7579 	 0.268869 
0.01492 	 14.9372 	 0.371694 
0.01493 	 14.5994 	 0.276241 
0.01499 	 14.721 	 0.227971 
0.01499 	 14.6731 	 0.23013 
0.01515 	 14.6347 	 0.293747 
0.01519 	 14.9263 	 0.2654 
0.01525 	 14.5176 	 0.300982 
0.01529 	 14.7804 	 0.343245 
0.01542 	 15.0896 	 0.371909 
0.01543 	 14.8214 	 0.313702 
0.01546 	 14.7801 	 0.22485 
0.01549 	 15.0202 	 0.339288 
0.0155 	 15.0051 	 0.271187 
0.0155 	 14.9582 	 0.256655 
0.0155 	 14.7464 	 0.285045 
0.0155 	 14.6322 	 0.312769 
0.01557 	 14.5372 	 0.28932 
0.01557 	 14.5542 	 0.289137 
0.01562 	 14.9202 	 0.262981 
0.01562 	 14.8772 	 0.333218 
0.01565 	 15.0787 	 0.277402 
0.01576 	 14.9127 	 0.285607 
0.01578 	 14.7456 	 0.218273 
0.01578 	 14.8167 	 0.289124 
0.01581 	 14.7396 	 0.237761 
0.01581 	 14.6474 	 0.217323 
0.01587 	 15.1386 	 0.26899 
0.01588 	 14.7757 	 0.223197 
0.0159 	 14.9133 	 0.241388 
0.0159 	 14.8793 	 0.207724 
0.0159 	 14.7799 	 0.27117 
0.01603 	 14.8532 	 0.280284 
0.01652 	 15.1607 	 0.345316 
0.01652 	 14.7469 	 0.333638 
0.01656 	 14.9078 	 0.216439 
0.01657 	 14.7196 	 0.414401 
0.01662 	 15.0263 	 0.260521 
0.01666 	 15.0878 	 0.196174 
0.01671 	 14.6455 	 0.243894 
0.01678 	 14.9149 	 0.244992 
0.01682 	 15.2119 	 0.357309 
0.01682 	 15.2811 	 0.340551 
0.01682 	 14.7143 	 0.283124 
0.0169 	 14.588 	 0.288048 
0.0169 	 14.6445 	 0.26318 
0.01692 	 15.2364 	 0.309138 
0.01698 	 15.0879 	 0.226785 
0.01699 	 14.8225 	 0.296588 
0.01705 	 14.9443 	 0.212756 
0.01718 	 14.769 	 0.307813 
0.01718 	 14.9473 	 0.324206 
0.0172 	 15.3554 	 0.21815 
0.0173 	 14.8906 	 0.281398 
0.0173 	 14.8987 	 0.255715 
0.01733 	 15.1479 	 0.220048 
0.01733 	 15.2571 	 0.229657 
0.01734 	 15.108 	 0.218624 
0.01737 	 15.057 	 0.26217 
0.01737 	 15.0139 	 0.261032 
0.01743 	 14.5269 	 0.329528 
0.01747 	 15.0698 	 0.198413 
0.01747 	 15.0603 	 0.195968 
0.01752 	 14.8935 	 0.229836 
0.01776 	 14.9691 	 0.319272 
0.01778 	 15.0834 	 0.208373 
0.01778 	 14.9934 	 0.211714 
0.01784 	 15.0409 	 0.245119 
0.01784 	 14.9888 	 0.221228 
0.0179 	 15.0445 	 0.317767 
0.01802 	 15.0131 	 0.232649 
0.01808 	 15.3548 	 0.199653 
0.01826 	 15.7262 	 0.216805 
0.01826 	 14.9475 	 0.279266 
0.01839 	 15.1863 	 0.225289 
0.01855 	 15.239 	 0.25393 
0.01855 	 15.323 	 0.29501 
0.01865 	 15.3641 	 0.237454 
0.01865 	 15.3186 	 0.238466 
0.01866 	 15.3536 	 0.276155 
0.01875 	 15.2936 	 0.213816 
0.01875 	 15.2336 	 0.319886 
0.01905 	 15.1756 	 0.280109 
0.01947 	 15.5217 	 0.193529 
0.01947 	 15.5555 	 0.193658 
0.01975 	 15.504 	 0.46583 
0.01975 	 15.4863 	 0.432674 
0.01976 	 15.4335 	 0.405343 
0.01995 	 15.1118 	 0.29449 
